manufacturer,model,year,city,body,mileage,transmission,wheel,color,drive,price,volume,fuel
Audi,A4,2020,Алматы,седан,,автомат,слева,белый,передний привод,23387000,2.0,бензин
Toyota,Previa,1995,Алматы,минивэн,,механика,слева,зеленый металлик,полный привод,1850000,2.4,бензин
Mitsubishi,Eclipse Cross,2018,Нур-Султан (Астана),кроссовер,25000.0,автомат,слева,белый,полный привод,11900000,1.5,бензин
УАЗ,Буханка,2007,Шубаркудук,внедорожник,28000.0,механика,слева,белый,полный привод,2200000,2.89,бензин
Toyota,Camry,2018,Нур-Султан (Астана),седан,47000.0,автомат,слева,черный,передний привод,13690000,2.5,бензин
Renault,Koleos,2018,Алматы,кроссовер,28000.0,автомат,слева,белый металлик,полный привод,12250000,2.5,бензин
Nissan,Qashqai,2013,Атырау,кроссовер,120000.0,автомат,слева,белый,передний привод,5300000,1.6,бензин
Volkswagen,Passat,2012,Алматы,седан,137000.0,механика,слева,черный металлик,передний привод,5800000,1.8,бензин
Hyundai,Accent,2012,Актобе,седан,178000.0,автомат,слева,белый,передний привод,4000000,1.6,бензин
Kia,Rio,2015,Нур-Султан (Астана),седан,85000.0,автомат,слева,белый,передний привод,5100000,1.6,бензин
Renault,Kaptur,2020,Шымкент,кроссовер,,автомат,слева,красный металлик,полный привод,12407000,1.3,бензин
Toyota,Sequoia,2010,Алматы,внедорожник,175000.0,автомат,слева,черный металлик,полный привод,14100000,5.7,газ-бензин
Hyundai,Accent,2018,Актау,седан,42000.0,автомат,слева,серебристый металлик,,6300000,1.6,бензин
Daewoo,Nexia,2005,Кызылорда,седан,,механика,слева,белый металлик,передний привод,700000,1.6,бензин
Lexus,GS 300,2005,Алматы,седан,,автомат,слева,черный металлик,полный привод,5700000,3.0,бензин
BMW,525,1994,Шымкент,седан,250000.0,механика,слева,черный металлик,задний привод,2500000,2.5,бензин
Renault,Vel Satis,2002,Шымкент,кроссовер,264000.0,автомат,слева,серый металлик,передний привод,2700000,3.5,газ-бензин
Hyundai,Accent,2015,Алматы,седан,114000.0,автомат,слева,коричневый,,4750000,1.6,бензин
Volkswagen,Polo,2015,Алматы,седан,168411.0,автомат,слева,черный металлик,передний привод,4500000,1.6,бензин
Lexus,RX 350,2006,Алматы,кроссовер,219415.0,автомат,слева,черный,полный привод,5400000,3.5,бензин
ВАЗ (Lada),Largus,2017,Актобе,универсал,85000.0,механика,слева,коричневый,передний привод,4300000,1.6,газ-бензин
Opel,Vectra,1990,Семей,седан,,механика,слева,красный,передний привод,400000,1.8,бензин
Chevrolet,Epica,2008,Алматы,седан,,автомат,слева,белый,передний привод,2700000,2.5,бензин
Renault,Logan,2020,Нур-Султан (Астана),седан,,механика,слева,,передний привод,6580000,1.6,бензин
Toyota,Camry,2003,Алматы,седан,227000.0,автомат,слева,черный металлик,,5300000,2.4,бензин
Toyota,Land Cruiser Prado,2007,Алматы,внедорожник,180000.0,автомат,слева,белый,полный привод,10200000,2.7,бензин
Toyota,Land Cruiser,2013,Семей,внедорожник,198000.0,автомат,слева,серый металлик,,20000000,4.6,бензин
Nissan,Terrano,1996,Караганда,внедорожник,555000.0,автомат,справа,зеленый металлик,полный привод,2100000,2.7,дизель
ВАЗ (Lada),2170 (седан),2013,Уральск,седан,120000.0,механика,слева,,передний привод,1500000,1.6,газ-бензин
Mitsubishi,Outlander,2012,Алматы,кроссовер,56000.0,автомат,слева,черный,полный привод,7000000,2.4,бензин
Renault,Arkana,2020,Алматы,кроссовер,,автомат,слева,,передний привод,12020000,1.6,бензин
Opel,Frontera,1994,Жетысай,универсал,1.0,механика,справа,жёлтый металлик,полный привод,1650000,2.4,бензин
Rolls-Royce,Phantom,2003,Алматы,седан,91500.0,автомат,слева,серый металлик,задний привод,48600000,6.7,бензин
Toyota,Estima,2008,Кызылорда,минивэн,162000.0,автомат,справа,серебристый металлик,передний привод,3999990,2.4,бензин
Renault,Logan,2011,Алматы,седан,183000.0,механика,слева,черный металлик,передний привод,2300000,1.6,бензин
Chevrolet,Niva,2013,Хромтау,внедорожник,,механика,слева,белый металлик,полный привод,2500000,1.7,газ-бензин
Renault,Duster,2020,Нур-Султан (Астана),кроссовер,,механика,слева,,полный привод,8321000,1.6,бензин
Mazda,CX-7,2010,Алматы,кроссовер,130000.0,автомат,слева,белый,полный привод,5200000,2.3,бензин
Renault,Kaptur,2020,Шымкент,кроссовер,,автомат,слева,синий металлик,полный привод,12407000,1.3,бензин
Suzuki,XL7,2004,Алматы,внедорожник,146000.0,автомат,слева,серебристый металлик,полный привод,4150000,2.7,бензин
Nissan,Patrol,2010,Актобе,внедорожник,146756.0,автомат,слева,черный металлик,полный привод,7500000,5.6,бензин
Renault,Espace,2001,Тараз,минивэн,208000.0,автомат,слева,зеленый металлик,передний привод,1850000,3.0,газ-бензин
Subaru,Outback,2006,Алматы,универсал,219000.0,автомат,слева,голубой металлик,полный привод,5200000,2.5,бензин
Toyota,RAV 4,2017,Нур-Султан (Астана),кроссовер,85000.0,автомат,слева,белый,полный привод,8200000,2.0,бензин
ВАЗ (Lada),2172 (хэтчбек),2009,Павлодар,хэтчбек,130000.0,механика,слева,черный металлик,передний привод,1250000,1.6,бензин
Infiniti,QX80,2019,Костанай,внедорожник,1.0,автомат,слева,серый,полный привод,30990000,5.6,бензин
Kia,Rio,2017,Алматы,седан,250000.0,автомат,слева,белый,передний привод,2300000,1.4,газ-бензин
Mercedes-Benz,C 180,1996,Алматы,седан,,механика,слева,бордовый,задний привод,2500000,1.8,бензин
Volkswagen,Passat,1991,Алматы,универсал,,механика,слева,зеленый,передний привод,1250000,1.8,бензин
Nissan,Juke,2013,Алматы,кроссовер,101000.0,автомат,слева,,полный привод,6400000,1.6,бензин
Renault,Logan,2020,Караганда,седан,7.0,механика,слева,,передний привод,6521000,1.6,бензин
Toyota,Mark X,2008,Семей,седан,,автомат,справа,белый,задний привод,2300000,3.0,бензин
Renault,Sandero,2020,Алматы,хэтчбек,,автомат,слева,коричневый,передний привод,7283000,1.6,бензин
Daewoo,Nexia,2013,Нур-Султан (Астана),седан,106000.0,механика,слева,белый металлик,передний привод,1580000,1.5,бензин
ВАЗ (Lada),2121 Нива,2009,Актобе,внедорожник,97000.0,механика,слева,серебристый металлик,полный привод,1350000,1.6,бензин
Kia,Optima,2014,Алматы,седан,144840.0,автомат,слева,серебристый,передний привод,6800000,2.4,бензин
ГАЗ,3110 (Волга),1998,Нур-Султан (Астана),седан,79000.0,механика,слева,серый,задний привод,1100000,2.3,бензин
Mazda,626,1991,Алматы,универсал,7777777.0,механика,слева,серебристый,передний привод,430000,2.0,бензин
BMW,735,2004,Алматы,седан,,автомат,слева,зеленый,задний привод,3800000,3.6,бензин
Lexus,LX 570,2018,Кызылорда,внедорожник,43000.0,автомат,слева,белый металлик,полный привод,44000000,5.7,бензин
Toyota,Highlander,2011,Нур-Султан (Астана),внедорожник,440000.0,автомат,слева,серый металлик,полный привод,7600000,3.5,бензин
Renault,Logan,2020,Алматы,седан,,автомат,слева,серый металлик,передний привод,7625000,1.6,бензин
Nissan,Pathfinder,2008,Алматы,внедорожник,205000.0,автомат,слева,черный металлик,полный привод,7000000,2.5,дизель
Daewoo,Gentra,2014,Кызылорда,седан,90000.0,автомат,слева,белый,передний привод,3400000,1.6,бензин
Honda,Element,2003,Усть-Каменогорск,кроссовер,199850.0,автомат,слева,черный,полный привод,4400000,2.4,бензин
Toyota,Urban Cruiser,2008,Нур-Султан (Астана),хэтчбек,180000.0,автомат,слева,черный,передний привод,4000000,1.8,бензин
Renault,Kaptur,2020,Костанай,кроссовер,,автомат,слева,,полный привод,12407000,1.3,бензин
Nissan,Qashqai,2013,Костанай,кроссовер,,автомат,слева,серебристый,передний привод,5500000,1.6,бензин
Mercedes-Benz,S 550,2007,Кызылорда,седан,163000.0,автомат,слева,белый,полный привод,7500000,5.5,бензин
Renault,Kaptur,2020,Нур-Султан (Астана),кроссовер,,механика,слева,,передний привод,10342000,1.6,бензин
